items,price,qty,time,message_id,email,purchase_keys__extid
"[{'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 54}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 42}]",413904,96,"Mon, 05 Apr 2021 21:27:51 -0400",,carolyn.cook@bytecode.io,ab6fa91b9938c41038ae18fe
"[{'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 55}, {'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 38}]",405907,93,"Mon, 05 Apr 2021 21:27:51 -0400",,chevy.williams@bytecode.io,a3e77da8a8148a29857fecea
"[{'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 91}]",181909,91,"Mon, 05 Apr 2021 21:27:50 -0400",,gabi.freire@bytecode.io,dd6a34b37a67223be8dba236
"[{'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 77}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 37}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 89}]",928797,203,"Mon, 05 Apr 2021 21:27:50 -0400",,john.marshall@bytecode.io,c57d1ae5034b4fb246b23515
"[{'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 53}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 46}]",209501,99,"Mon, 05 Apr 2021 21:27:50 -0400",,amanda.kuelker@bytecode.io,f49b781c2107f8a608727c34
"[{'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 21}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 91}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 68}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 59}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 57}]",957663,296,"Mon, 05 Apr 2021 21:27:49 -0400",,carol.perkins@bytecode.io,c77df13a8d3fe553a6536807
"[{'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 97}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 47}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 57}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 96}]",548099,297,"Mon, 05 Apr 2021 21:27:49 -0400",,amanda.kuelker@bytecode.io,9b9f908c6ef797704778f24c
"[{'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 65}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 46}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 29}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 10}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 61}]",472935,211,"Mon, 05 Apr 2021 21:27:49 -0400",,amanda.kuelker@bytecode.io,30f350742a19ae49a6868525
"[{'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 87}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 3}]",20697,90,"Mon, 05 Apr 2021 21:27:48 -0400",,kevin.koshinski@bytecode.io,91c23a09ae9b47697d2345cb
"[{'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 40}, {'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 27}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 25}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 98}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 15}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 51}]",474742,256,"Mon, 05 Apr 2021 21:27:48 -0400",,mark.doucette@bytecode.io,f1fcdaa9a08490590b2c7eee
"[{'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 51}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 8}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 26}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 80}]",502243,165,"Mon, 05 Apr 2021 21:27:47 -0400",,carol.perkins@bytecode.io,45627e54b7615b1e914cea19
"[{'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 7}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 75}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 46}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 92}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 29}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 55}]",845842,304,"Mon, 05 Apr 2021 21:27:47 -0400",,mark.doucette@bytecode.io,057190c6ed74a6b5d25544ca
"[{'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 67}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 74}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 24}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 82}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 43}, {'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 14}]",658378,304,"Mon, 05 Apr 2021 21:27:46 -0400",,chevy.williams@bytecode.io,eff3d95293fa23d64be997ec
"[{'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 26}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 34}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 52}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 69}, {'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 13}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 74}]",589406,268,"Mon, 05 Apr 2021 21:27:45 -0400",,charlie.killian@bytecode.io,1bc32207ecdcb26d23d4cb2b
"[{'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 65}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 7}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 31}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 25}, {'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 19}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 35}]",323883,182,"Mon, 05 Apr 2021 21:27:45 -0400",,craig.macrae@bytecode.io,73715190875879595c9beb68
"[{'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 58}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 93}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 83}]",674566,234,"Mon, 05 Apr 2021 21:27:45 -0400",,amanda.kuelker@bytecode.io,227e39fa084267b518b8e4ea
"[{'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 98}]",587902,98,"Mon, 05 Apr 2021 21:27:44 -0400",,joyce.schiffer@bytecode.io,825a9dc221704bd05fca81f8
"[{'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 79}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 71}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 12}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 43}, {'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 50}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 39}]",739885,294,"Mon, 05 Apr 2021 21:27:44 -0400",,craig.macrae@bytecode.io,09a93852fa9868584820d78c
"[{'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 71}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 82}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 98}, {'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 87}]",589660,338,"Mon, 05 Apr 2021 21:27:43 -0400",,david.kochar@bytecode.io,eca09ddd271a7ba01ef537aa
"[{'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 30}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 84}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 64}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 42}]",741980,220,"Mon, 05 Apr 2021 21:27:43 -0400",,chevy.williams@bytecode.io,a5fe00aeb1f39069f55052d0
"[{'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 67}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 64}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 32}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 16}]",396221,179,"Mon, 05 Apr 2021 21:27:42 -0400",,joyce.schiffer@bytecode.io,0b2433174ac7082c8721e7ae
"[{'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 72}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 40}]",239088,112,"Mon, 05 Apr 2021 21:27:42 -0400",,peter.begle@bytecode.io,8098080065e392e8b7ed1bff
"[{'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 19}]",56981,19,"Mon, 05 Apr 2021 21:27:42 -0400",,amanda.kuelker@bytecode.io,30097e0bd1ea95a207c52739
"[{'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 64}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 93}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 62}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 38}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 11}]",986843,268,"Mon, 05 Apr 2021 21:27:41 -0400",,aaron.pugliese@bytecode.io,9c956e6cab1fb766b8308287
"[{'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 35}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 51}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 50}]",196414,136,"Mon, 05 Apr 2021 21:27:41 -0400",,kevin.koshinski@bytecode.io,aeaa7efcd64dfd8eeef6bd9f
"[{'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 62}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 99}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 41}]",426897,202,"Mon, 05 Apr 2021 21:27:40 -0400",,craig.macrae@bytecode.io,bc16df10f553eb78b8c0627d
"[{'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 76}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 67}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 61}, {'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 6}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 75}]",878391,285,"Mon, 05 Apr 2021 21:27:40 -0400",,kevin.koshinski@bytecode.io,7515eb8e8c1f179684d53ed8
"[{'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 91}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 15}]",380394,106,"Mon, 05 Apr 2021 21:27:40 -0400",,charlie.killian@bytecode.io,0dc324277b1efcf0f3c5eb3d
"[{'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 24}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 22}, {'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 66}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 59}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 90}]",612961,261,"Mon, 05 Apr 2021 21:27:39 -0400",,david.kochar@bytecode.io,35bdc30a7932c538488aa6f5
"[{'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 12}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 86}]",271102,98,"Mon, 05 Apr 2021 21:27:39 -0400",,john.marshall@bytecode.io,92f9c0ff441274342b956e5e
"[{'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 39}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 62}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 90}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 19}, {'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 77}]",727832,287,"Mon, 05 Apr 2021 21:27:39 -0400",,amanda.kuelker@bytecode.io,9576fbc739ba461c37f521d1
"[{'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 10}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 92}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 90}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 36}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 48}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 85}]",1081529,361,"Mon, 05 Apr 2021 21:27:38 -0400",,cynthia.homan@bytecode.io,c8573c6c3a9091b7e0eb5200
"[{'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 24}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 64}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 41}]",196735,129,"Mon, 05 Apr 2021 21:27:37 -0400",,charlie.killian@bytecode.io,763be2946f709cfb2369d5e4
"[{'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 33}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 2}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 69}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 79}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 81}]",632969,264,"Mon, 05 Apr 2021 21:27:37 -0400",,cynthia.homan@bytecode.io,975996d202cd1a928d5910b0
"[{'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 17}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 80}, {'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 36}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 81}]",816486,214,"Mon, 05 Apr 2021 21:27:37 -0400",,amanda.kuelker@bytecode.io,720661224e37a8935bf8c14e
"[{'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 46}, {'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 36}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 93}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 100}]",819118,275,"Mon, 05 Apr 2021 21:27:36 -0400",,john.marshall@bytecode.io,3e9ad6817d5b86282f21f2bb
